run,step,loss,mean_reward,mean_format_reward,mean_accuracy_reward,mean_length_penalty,outlier_clip_fraction,mean_kl,extraction_failure_rate,zero_variance_fraction,mean_completion_length,std_completion_length,peak_vram_mb
run_a_noclip,1,-5.80328369140625,-0.6943359375,0.0625,0.0,-0.7255859375,0.0,0.0,0.9375,0.25,229.9375,45.971195220947266,10323.787109375
run_a_noclip,2,-5.066497802734375,-0.728515625,0.0,0.0,-0.728515625,0.0,0.0,1.0,0.0,235.3125,30.7753963470459,13177.62255859375
run_a_noclip,3,-30.12841796875,-0.43896484375,0.1875,0.03125,-0.56396484375,0.0,0.0,0.8125,0.0,209.8125,58.5157470703125,13177.95849609375
run_a_noclip,4,-35.22181701660156,-0.4169921875,0.125,0.0625,-0.5419921875,0.0,0.0,0.875,0.25,199.5,68.53348541259766,13177.95849609375
run_a_noclip,5,-42.453277587890625,0.28564453125,0.46875,0.375,-0.32373046875,0.0,0.0,0.53125,0.0,158.75,75.7951431274414,13177.95849609375
run_a_noclip,6,-28.68218994140625,-0.19677734375,0.125,0.03125,-0.29052734375,0.0,0.0,0.875,0.0,173.8125,59.12285614013672,13177.95849609375
run_a_noclip,7,-18.465576171875,0.859375,0.84375,0.46875,-0.03125,0.0,0.0,0.15625,0.25,96.1875,43.48855209350586,13177.95849609375
run_a_noclip,8,-13.207992553710938,0.17236328125,0.375,0.15625,-0.17138671875,0.0,0.0,0.625,0.0,154.0,58.61685562133789,13177.95849609375
run_a_noclip,9,-5.12158203125,0.50390625,0.75,0.25,-0.12109375,0.0,0.0,0.25,0.0,115.65625,64.51937103271484,13177.95849609375
run_a_noclip,10,-27.718994140625,0.642578125,0.78125,0.375,-0.123046875,0.0,0.0,0.21875,0.25,121.96875,64.25125885009766,13177.95849609375
run_a_noclip,11,-39.9801025390625,0.212890625,0.5625,0.125,-0.193359375,0.0,0.0,0.4375,0.0,154.59375,62.117401123046875,13177.95849609375
run_a_noclip,12,-17.234954833984375,0.38134765625,0.90625,0.03125,-0.10302734375,0.0,0.0,0.09375,0.0,142.25,54.623050689697266,13177.95849609375
run_a_noclip,13,-26.33758544921875,0.5185546875,0.78125,0.1875,-0.0595703125,0.0,0.0,0.21875,0.0,117.3125,50.12657165527344,13177.95849609375
run_a_noclip,14,-14.390869140625,0.673828125,0.9375,0.25,-0.044921875,0.0,0.0,0.0625,0.25,107.71875,45.58878707885742,13177.95849609375
run_a_noclip,15,-1.8232421875,0.65380859375,1.0,0.15625,-0.00244140625,0.0,0.0,0.0,0.25,136.125,25.800413131713867,13177.95849609375
run_a_noclip,16,-1.9666748046875,0.50244140625,1.0,0.03125,-0.02880859375,0.0,0.0,0.0,0.5,124.78125,37.476646423339844,13177.95849609375
